final_text,sentiment
small quiet cafe opposite hawa way cafe however gloomy cafe within clean outdoor section always occupied foreign tourist reached place morning get place outdoor area perfect view place amazing soothes ur mind eye place perfect breakfast menu limited tea bit pricy item menu moderately courteous polite,0
zomato told write polite review im still giving cafe positive rating otherwise not worth food shitty every aspect ordered corn cheese sandwich cheesy nugget otc pizza drink wasnt anything cheesy nugget pizza half burnt sandwich barely edible still regret spending money people visit want look hawa mahal,1
food staff service great geetika particular really helpful friendly,0
basic restaurant basic food nothing special,1
good place hangout friend place streaming sport many indoor game well food good try thin crust pizza tandoori pasta place separate playing area kid well,0
nice place l seeing outside cannot judge place much amazing thing say food amazing understand food like ambiance ok like feeling connection time not go discover one last thing food really awesome,0
expensive,1
located quiet part cscheme friend took yesterday didnt order food hot chocolate carrot cake hot chocolate frothy milk bit cadburys chocolate powder sent back served powder carrot cake good not great apart managed squeeze service charge didnt notice time paying bill felt completely ripped eatery pretending gourmet delight,1
spot bang buck quality food get v price pay amazing staff friendly ambiance add glitzi tried afghani murg kebab chicken biriyani roasted chicken full mark must visit place jaipur,0
service really nice food must shibuiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0
kcc one best restaurant nonveg foodi luv vaishali nagar outlet also numerous time liv nearby wtp outlet even wrong wth outlet ambience royal touch given gr lollypop biryani snack recent addition prawn wat hav always missed given feedback not thing not tried kcc luv gr work u soon arund tyms,0
entire hot chocolate packaging received glass empty,1
marinate chicken,1
paneer lababdar always meal whenever want order something outside reason always order robot restaurantyellow house amazing,0
today visited place nd time wish visit make good food best quality lovely place lavish variety food big buffet many option choose choice yeah must say restaurant serf perfect dessert mouthwatering food presentation perfect hospitality great dedicated helpful staff amazing time cousin love visit,0
good food excellent sarvice nirmal vai,0
great experience family long trip quiet relaxing music cozy environment starter drink gud quiet pleasant service staff dilip kumar hoping visit keep,0
good food service excellent ambience try kakori roti good food service excellent ambience try kakori roti,0
food great pathetic service experience bad,1
finally vidhyadhar nagar got asthetic family restaurant delicious food drink must try chilli paneer passion fruit mojito highly recommended everyone,0
order buttar chicken received wrong chicken,1
food simply divine lively atmosphere add overall impressed quantity quality food delicious fresh,0
playboy club name change stuff service soaib gud good feel good,0
food greatclean place server radhe sham served u great reccomemd place tofriends experience,0
worst drink bad staff,1
suffering cold n fever time got delicious food room served mrinal n raja gupta thanks socorro n crowned plaza team nice ambience far,0
food good made according indian pallete service poor due delay food delivery staff served lemon cream cake instead lemon cheese food experience appetizing,1
pankaj amazing food service usual great place lunch family staff extremely polite helpful customer food usual,0
good food,0
excellent issue resolution,0
chicken lollipop pathetic uncooked feel mushy fake uncooked like bad dont ever order,1
ordered yakhni shorbaafghani murgmutton seekh kebabbbq palak chickensmoked chicken assorted bread food delicious yummy dish well preparedand taste authentic service also good staff friendly well trained team bhavani vivek served u,0
enquiring went new year party paid couple entry promised item nothing infact starter bland food no drink promised infact dj bad well good thing mashoor gulati nothing else waste money,1
great place chill beautiful roof top cool breeze serve amazing cool variety cocktail mocktails club one kind jaipur light dj perfect food good paneer tikka atmosphere unique royal get hottest picture mobile gallery ambience pretty amazing quality quantity food nice staff behavior really friendly professional thanks much serving well,0
knowledgeable staff jaipur adda good staff n good location n good embience favourite place hang friend n family,0
excellent food mutton biriyani excellent sarvice mr nirmal hi,0
amazing facility,0
shop kr,1
zabardast excellent sarvice excellent food laal mass tikka nice boy nirmal ji,0
priyanka liked food service good ambience rajasthani thali also good service people really hospitable excellent,0
amazing view tasty food best service shiv bahiya visit best place hangout,0
must say restaurant know service well food ordered tomato soup caesar salad good done promptly even rice gatta kari ordered touch authenticity without spicy price reasonable lot offer available place try find one,0
best place visit awesome placei ordered gatta masala paneer delicious taking also helpful good,0
masala bati smelling like old bad,1
good service devendri,0
onion send salad not good chutney not good also,1
good service provided hemraj singh,0
one best chilling spot jaipur staff specifically amit soni ravi bhaiya best,0
ganno great job food good specially fish tikka customer service high standard,0
view city mesmerizing backed awesome service live band mosquito could good time future visit,1
time favourite place hangout amazing weather friend datesi loved veiw star foodyou guy improve food everything thing visited thousand time visit thousand time future,1
pathetic visting place totally disappointed name playboy club nothing match name like unche dukan feeke pakwaan ambience dull music bad hot big seating two cooler two extreme end presentation food bad food quality average price high totally waste money time whole evening spoilt would not recommend go,1
good ambience service food amazing shibu great host restaurant must go eat,0
not good,1
great vibe tasty food excellent experience enabled yashraj,0
visited malviya nagar outlet today dinner saturday night place full waiting settled eat adjoining common eating area outlet part food court world trade park condition eat disposable plate fork spoon tikka soft tad bit dry portion generous chutney gooddal makhni better average heavy spice even spite u requesting le spice nan roomali staff courtesy exceptional deserves special mention smartly dressed well mannered committed service charge service charge,0
want refund half quantity,1
amazing food quantity lovely hospitality manbar singh must visit jaipur nice ambience well would highly recommend visiting world trade park,0
wonderful experience today dinner starter amazing specially live counter gud dal baattiii churma gud soccooro gud resturent also staff nice fav chef rk pradhan nice chef pawan chef santosh narsingh kuldeep also service anshul mayank susmita nice hostess,0
totally cold time reached delivery partner took minute reach km,1
recently visit crowne plaza last word kind service experiencedi traveled many placesbut not seen kind dedication staff anywhere service staff friendly u super fast service given bhupinderi loved slot hotel team make wonder full stay,0
amazing experience every staff cooperative n caring nice ace nice decoration great ext thank guy,0
bad customer service bad music never go weekday told manager multiple time change music no one bothered serve self bad customer service,1
looking sumptuous kebab served rustic setting cant go wrong itcs peshawri company developed perfected restaurant concept line legendary bukhara meat lover worth trying murgh malai tikka barrah kebab raan dal peshawri,0
amazing experience yesterday ambiance great bukhara favourite aa great family dinner,0
well greeted nice decor comfortable sitting excellent service smiling staff ordered mutton biryani keema naan mutton gravy butter naan food delicious served hot accurate little finicky biryani loved stuffing keema naan really good mutton curry really delicious portion size little end meal provide balmy wet napkin wipe hand instead finger bowl feel good highly recommended indian food lover,0
not receive food,1
vary bad delivery product damage iam un happy product vary bad product delivery,1
stale cake worst possible experience,1
decent taste plain simple minimal seasoning let enjoy ingredient flavor good people want eat healthy want avoid much oil salt anyone add last liking cant remove already dish,0
good food great ambiance speedy service however hoping even tastier menu upgrade compared kaleidoscope still delightful visit,0
like ambience foodhospitality specially service provided dhanpal ji,0
perfect ambience shall say staff polite service importantly people coming kid order tomato say soup good starter kathi roll well stuffed well course bhindi masala dal say think best bhindi masala ever life must try sweet ra malai also tasty importantly presentation food good,0
jaipur past year personally never seen good menu cocktail trying real hard bring best taste alcohol lover also burraa chicken personal favourite presentation service top class also ambience quite soothing favorite place town,0
jaipur adda amazing rooftop restaurant go relax view amazing ambience staff pro active know best suggest visited week day glad see live music going singer amazing ordered karari roti delicious quirky tandoori chicken delicious,0
sunday brunch gastronomical delight food lover beautifully handcrafted dessert awesome starter pizza chaat corner barbeque station not forget aromatic biryani make visit okra worth every penny however starter display often room temperature brought notice server ensure heated served directly table made visit okra case every single time anything hate live loud music singing spoil peace calm please something hardly corner realish awesome food peace,0
highly recommended must visit cafe,0
salad good though crouton could sent seperately went soggy actually heart,0
bad never,1
no cutlery no sauce no tissue order r noodle got plain nothing no presentationits star restraint,1
clone original bukhara delhi safe bet itc hotel service always good food extremely good ordered standard order peshawri kebab dal bukhara tandoori chicken needle say everything good cold drink nice chilled service polite attentive quite possibly best indian restaurant jaipur,0
always order pizza always good today spicy cant finish,1
peshawri like mini version bukhara must try veg paneer tikka dal bukhara service good staff attentive also tried paneer khurchan seating little uncomfortable seating layout hasnt changed age portion size dal bukhara could,0
amazing set great crowd open till late one best option hang went late around midnight live music still music really good switch dj post midnight,0
high expectation hot chocolate restaurant unfortunately fell short taste quite ordinary lacked richness hoping also served lukewarm bit disappointing ive better hot chocolate elsewhere,0
restaurant delivering specific area couldnt give rating earlier ordered meal delivered without qualm thought repeat order denied clearly feel customer patronise restaurant dont expect business entry clearly customer satisfaction not priority restaurant disappointing,1
food delicious n nice hospitality n loved desert cheesecake ambience good presentation,0
place provides one best chicken service shibu upto mark management good clean hygenic must visit gor chicken lover amazing chicken lollypopshimanshu bagga good mgmt,0
best service given yogithanks best service,0
quantity not better satisfied according price,1
staff really humble,0
frame pink sauce pasta lime soda nacho bhel chocolate browniewe literally loved ambience service guy really nice host loved pasta nacho bhel quantity food literally good tried really hard finish brownie bit hard made difficult u eat overall nice experience,0
basically nonvegetarian food place serf vegetarian went dinner purposewe ordered butter chickenit yummiest chicken ever best part chicken fresh smooth eatingservice ambience totally worth must try nonvegetarian item,0
shahi paneer malai kofta delicious service somu excellent,0
nutella waffle really tasty treat waffle crispiness perfectly matched smooth texture nutella,0
broccoli pizza gobhi paratha far better pizza waste money expensive cheese burnt no taste learn something domino food joint,1
good food nice staff service,0
poor packaging almost pesto got spilled,1
excellent service good taste food different variety also try cranberry plus strawberry shake,0
best quality food beautiful ambience good visit,0
food really good must try chicken lollipop chicken tikka butter chicken naan served properly environment pretty good taste quality food always shivu,0
happy eating favorite chinese platter get favorite food place robot restaurantyellow house truly commendable,0
portion size small no dip,1
mohito not carbonated enough fry bit soggy,1
went anokhi friend recommendation ordered hot chocolate disappointment hot chocolate like chocolate water like texture no mark presentation also ambience get full mark though,1
delicious food le price tried many type food staff also friendly humble must visit family friend,0
no veggie came scrambled egg dish like serve visit restaurant,1
food bad worst taste want money back,1
ketchup quality low,1
jaipur adda indeed one finest rooftop jaipur amazing view amazing space tried newly introduced tiki menu amazing mocktails nann pizza cheesy fell love ita rating much deserved place,0
liked overall experience kcco like visit chicken lollypop panner tikka much recommended served shibhu helpful friendly,0
first time place chicken saagwala really nice everything great shiny saver great guy must visit,0
portion size way le please improve,1
soaib good service enjoyed meal lot thank service fun experience,0
bahut sada huaa khana deliver kiya bahut hi bekar khana tha hotel par khate ho bahut achcha khana aata online order karo bahut hi bekar khana bhejte,1
excellent place get view hawah mehal hangout friend order grilled cheese sandwich hot cup tea served khullad enjoy food rooftop restaurant get best view amazing not match service food quality explains rating,1
good quality food great service shibu staff welli definitely recommend visit nd delicious non veg food,0
restaurant jaipur stand beautiful decor spoton hygiene true fusion desi elegance modernity,0
small piece,1
quality not good,1
place awesome wonderful experience dining good interior smiling active staff delicious fresh food kcco love come,0
great food usual great service capt vikram singh,0
one greatest restaurant locality order food online provides vast variety food available menu liked food,0
charge r kinley bottle cost r yes charging mrp allowed court packed food extent certain charge per,1
patty tasty extremely cold,1
delivered early food good,0
service quite good awesome place food tasty see u soon thanks rakesh chowdhary,0
food delicious service fast shivu ram helping u food choosing serving great time,0
khatam quality,1
especially amar singh nice,0
earlier gave star time huge disappointment food service,1
rude staff forced pay service charge according union government approved guideline service charge hotel restaurant bill voluntary not mandatory,1
waiter rashid nice pleasant talk response pretty well query,0
not well settled,1
nice place wtp hand please niramal service awesome food quality specially matka chiken best,0
tandoori chicken momos tasty,0
rd class qwality,1
food delicious along awesome service also budget friendly come along friend service shibu,0
amar singh ji chicken lolipop amazing chicken biryani also good thank,0
wonderful experience breakfast dinner aloo paratha egg white omlette idli fresh fruit diner black bean lamb mushroom pasta thoroughly thanks taking care chef r k pradhanpawansantoshdeepaknarshing andservice mohosin khan,0
nice food,0
came late cold,1
like accept brown sugar best sweet item not italian specially double cheeze margarita,1
food awesome,0
youre figuring place visit upcoming weekend experience something really good one place offer alot great food want see magic show puppet show tarot card reader want throw dart shoot bullet balloon name personally liked masala baati churma totally ill definitely visit thing specially soon thanks wholesome experience,0
oily stale food,1
breakfast extremely satisfying much variety family loved wholesome experience staying marriott jaipur thankyou team okra wonderful food,0
delevery boy not keep change,1
best service food whole jaipur best part ambience staff polite specifically mr shankar always recommends best food mine favourite bruschetta,0
best brew great bar according need hotel constructed beautifully pleased say interior amazing like doesnt like treat gotta say really liked mocktails hospitality let tell orange jina refreshing amazing gotta tell awesome whenever get chance visit try mango martini awesome really loved cranberry gintini refreshing gotta tell twice thats really would love visit,0
food especially chilli lime skewer drink served good location restaurant could betterthere lotta bustruck horn sound,1
traditional resort,0
raita sour,1
courting potato not good quality feel mouth much poor quality oil used totally disappointed,1
extremely great service decorum amazing place calm soothing best place hangout family friend defined recommended,0
horrible bowl ever bean spilling oil full swelling guacamole tomato sour cream smell taste expired,1
good experience service given vikram singh,0
excellent service nitesh pal well soken,0
poor staff service improper management bad food quality visited place last night horrible experience many far better option available please avoid place youll regret later chose go,1
sunday thats great food great service shibu kebab kurry hrt atmosphere enjoy partner plz keep go ahead enjoy meal staaf chef department osum enjoy grt deat spcl discount also server also polite peaceful grt,0
govindam retreat situated pink serve different type drink shake lassaiambience taste not,0
taste not better,1
service quality food good dining experience,0
amazing experience service good made dinner night wonderful experience friend especially nizong sanjay nice way treated u great evening cheer restrau,0
taste good fresh biryani givng many item biryani specially service kind shivu,0
best place jaipur party kaafila bar best ambiance sodala aera food quality aera best dancing helpfully thanks devender service,0
specifically told give extra salad chutney even called driver tell put extra onion forgot even put salad chutney food cold,1
outlet kc company wtp good food wait esoecially sunday kebab good tabdoiri chicken good butter chicken not great service good must try kebab,1
bland ice basically made drink taste like water,1
im mood quick tasty meal place first choice delivery lightningfast food never disappoints price extremely pocketfriendly making great option budget,0
one best place superb ambiance band energy beyond good service staff good guide u food menu made u order could suggest good live music good nicely presentation,0
celebrated birthday great place soothing ambience view city light rooftop amused service live dj really made night,0
baked,1
great experience restaurant great food ambience hospitable staff shibu ji table service guy he great look around get chance,0
service mr radheshyam quality taste nice love come excellent service excellent na foodkkdkkdkdkkdkkdkdkdkfkfjfjkfkf,0
want place waiter dont care exist food tasteless portion tiniest possible place good thing place ambience dont get enjoy always waiting get waiter attention,1
restaurant cosy staff hospitable mr nitesh courteous helpful,0
visited place day back got amazed interior ambiance really beautiful ordered starter smoothy main course food soo delicious also main amazing part outdoor indoor sitting also enjoy live music night,0
immerse delightful aroma flavor fill restaurant accompanied upbeat lively atmosphere,0
visited restaurant january worth good quality food good service importantly nice amazing view else need service upto visit get chance recommended,0
dal bukhara reason go restaurant nice ambience good toooooo expensive visit someone giving treat everything really taste naan bukhara huge sufficient people like,0
good service food,0
great taste awesome packing best chur naan must try,0
taste food awesome food quality amazing rahul humble nice service good,0
place tawa chicken available ambience gud staff food quality awesome service also gudgood place uh luv non vegetarian,0
shibu wonderful service appreciate,0
amazing place chill friend level energy high place mostly crowded still service really impressive must visit place,0
limited option food also not u r salad kind personi found portion served also le food serve isnt fresh display u choose warm serving youexcept salad obviously also not great,1
waste money,1
good service polite staff food also tasty environment peaceful must come place amazing experience shibu,0
awesome place hangout food beautiful great sound nad play well good foreign serf recommend must try,0
taste good service not good anymore much time taking preparing dinner mealand staff ignoring order,1
poor packing,1
mjndblowing multicusion fin dining place jaipurs luxury st deliciousdrinks old greata great professional place food addicted people like fan marvellous pink sauce pasta n red jacob enjoyed night lot make evening fantastic,0
great food good service nitesh,0
shibu excellent service oder fish malai tikka matka chicken excellent food excellent palege nicenicenicenicenicenicenicenicenicenicenice,0
ordered chocolate cake delivered one different family didnt liked,1
poor quality damgge pizza,1
great food ambience tried veggie pizza pesto pasta spicy noodle parantha amazing service mr vikram,0
visited couple friend weekend party really happening good music delicious food positive vibe get feel like chill great outdoor space feel like move foot great sound light every kinda music ideal location friendly security staff behind bar server amazing service great night would definitely go cheer monika singh,0
lovely place ambience staff really helpful loved food mouth watering ended going meraaki twice week must try sushi pull apart garlic bread guava strawberry drink nutella cheesecake pasta,0
pathetic service pathetic food waited hour food even arrive table waiting time get table min top forgot taken order came ask min placed order owner wasnt manager clueless confused large order volume online sale shut dining online cant manage provide decent service least worst dining experience far india,1
teacher day special cake ordered arrived perfect condition right time great way show appreciation five star prompt delivery,0
food completely cold,1
good service hospitality lovely food must try service shibu sssssssssssssssssssssssssssssssssssssssssssssssssddssdsssssssssss,0
pizza treasureeeee,0
ambience good food ok ordered pizza hummus falafel platter cheese french fry overall good place hang group friend dont expect much food,1
lively cafe superb coffee n meal although acoustic bother well compensated quality service named surender shankar tried heart make comfortable n cozy must try vietnamies coffee n maxican bowl,0
packing good taste also good scope betterment,1
fantastic dining affair attention detail delicious flavor made experience truly remarkable,0
sabse bakwas,1
lunch place ordered veg non veg ordered quite thing rose expectation jeera aalo asked make bit spicy looked mouth watering tasted well biryani quite delicious dish also well cooked,0
visiting particular restaurant since opened distinctly remember feeling time jaipur glad itc planned open sheraton cousin restaurant bukhara year one easily say restaurant ruled food seen jaipur local outoftowners somehow recently lost sheen carried feel hotel restaurant suffering fatigue like complacency set feeling achievement peshawari challenger form lalits baluchi chef jassi daal left peshawaris daal mile behind day,1
pyaz got no aaloo pyaz ki le half box filled oili ordered plate quantity not enough,1
chicken curry not per dine tawa roti also dry floursalad le qnty expensive rate,1
recently went outlet friend banjara banjari dance entertainment veg chowmin bajre ki rabri loved ambiance rajasthani bajre ki rabri awesome cant forget food item fully rajasthani style sitting arrangement program experience visit,0
one best place explore rajasthani culture beautiful place really loved way decorated whole place lot thing includes followingrajathani flok dancemagic showcamel ridehorse rideswimming pool food good come r includes fun activity buffet great place enjoy friend family food taste rajasthan,0
rude stafff,1
recieved cake spilled seems like portion deliberately spilled dilevery person found le fruit top cake poor quality per brown sugar regular cake,1
go high coffee recently visited coco jaipur ban park come new concept liquor coffee ia really amazing love coffee youre liquor place ordered kitkat shake drunken coffee rocher shake hot chocolate liquor food hara bhara kabab vegetable exotic pizza nutella butter toastie try daru wali coffee also loved ambience super confy cute cozy atmosphere music also lite soothing visit,0
stardust jaipur,1
worst cafe ever visited food bad taste mocktails pathetic worst experience,1
good food amazing ambiencegood crowd service bit outdoor seating fully crowded thursday alsonice food amazing cocktail,0
decent place breakfast visited restaurant staying hotel good spread vegetarian satisfying fruit juice fresh along poha upma amazing dont try south indian dosa idly etc not great pan cake waffle mark masala chai top class staff professional helpful overall decent place breakfast ambiencestafffoodservice,0
portion half price charge better pay global chain,1
place romantic place visited ambience eye catchy specially seating arrangement attractive one best restaurant jaipur spend time friend family enjoy hukkah live music food serve tasty staff cooperative helpful definately recommend guy visit romantic experience,0
amazing thin crust pizza mst come pizza lover jaipur thin fresh crust ke liye,0
whole food not tasteful pasta horrible,1
new taste different place entered rajputanas peshawri thought would large dine area quite small normal restaurant sweet simple interior saw menu like selected best item mind blowing rate toooo expensive paneer taste normal price high becoz brand name rajputana enjoyed lot becoz treat friend,0
great staff great food,0
kailash super helpful everything recommended hit pav bhaji roll dahi kebab highlight wish better buratta chat though,0
pathetic food small quantity put much oil pasta,1
awesome place hangout friend jaipur ambience good sitting area place real nice inside side also rooftop come partner spend quality time food delicious yummilicious favourite place jaipur,0
someone please teach basic courtsey dont even know someone come need serve water asking water said packaged water dont serve regular water like seriously star hotel also first instance serve water thats different thing ask whether regular mineral food not worth money,1
taste not good amount pizza price really small kindly low price give small size pizza not good enough one person,1
place situated right front amer fort rooftop give incredible view food mouthwatering ambiance nice recommended chill vibe great time family friend,0
english breakfast misleading,1
nyc place good food ambience also good feel trying give certainly felt menu not vast proper indian food didnt lyk service waiter nt courteous,1
food fantastic preeti others liked sweet lasi chicken well shibu great host served u food well,0
ive visited place friend band place awesome ambience elegant specially behaviour manager good time mr dipeesh ji recommended,0
good time good food simply rocking place weekend nice place party taste yummy well spacious dance toofoodiejaipur aadiivaasii,0
good food good experience good service gunnu rest staff,0
best food quality best indoor ambience experience,0
awsm best choice always use prefer every health freakers visit test taste real food proper condiment spice,0
love food excellent service excellent foodthe oder chiken birayani paneer tikka masala naan roti thank kcco nice staff,0
lovely sunday brunch friend kiddos great spread food amazing taste beautiful ambience great best dinning,0
bad behaviour staff bouncer not good term not good place hangout party dont go club many good club jaipur u better time,1
shibu service dining good food awesome rajendran chef awesome cooperative,0
would probably say coffee shop must coffee lover service good variety coffee served ambiance satisfying like coffee shop mustvisit back,0
amazing chain restaurant meat lover fulfill meat craving favorite choice food jaipurhave visited several time try handi chicken handi meat lal serviced mr manbar singh hospitality class apart,0
zabardast excellent food paneer lababder biriyani aam panna biriyani hot hygiene good sarvice boy nirmal vai,0
money not refund case youi want money please refund moneyi dont believe zoomato money not refundplease refund money,1
place one hidden gem jaipur main city lot parking problem good parking space segment food really incredible service mind blowing moreover introduced new tiki menu drink section brought polynesian island right serving tiki menu town no place really tiki menu completely superb unique new experience methings theredrinkstiki menu superb allgrilled pineapple tequila tikigrilled orange wine tikicockoo,0
worst ever,1
visited restaurant high expectation disappointed food ambience good live singing amazing service also good staff polite attentive however food not mark veg farmhouse pizza not good cheese soggy bland baked nacho ordinary lacked flavor due cancelled order white sauce pasta not want waste money appetite really improve food quality taste otherwise lose customer,1
not satisfied,1
good service delivery boyvery nice behaviour delivery boy,0
nice food staff friendly,0
service amar singh good food,0
not recommend,1
beautiful ambience friendly staff good food,0
service bythe food place amazing great service specially shivu fun,0
good food fantastic service must visit sizzler awesome thank night jar team,0
hookah not good charge r feel like complimentary many place better hookah service provide long time coil change taste completely changed restaurant change coil time work around hour food average short not going comeback unless,1
today quality bad,1
behaviour staff not good,1
food quality good live music nice ambience service mr vivek thank nightjar,0
wonderful place close hawa mahal live local music great authentic rajasthan food tasty service good,0
great ambience good service mr jogi,0
ultimate food quality amazing service faieem khan,0
went ohana yesterday ambience vibe place really good interior exquisite big screen added oomph factor place signature cocktail also good courteous staff along good food dimsums gyoza great good place smooth hangout,0
ordered pc received one pc,1
amazing food keep would visit soon sure sandeep really good host loved ambience chicken curry naan amazingly delicious,0
doesnt recived order,1
good ambience good service food tatse quality also awesome please ignore image posted overall experience mind blowing,0
isme chach nhi aaya,1
nice hotel nice ambience food osam service excellent deepak chef ramakant also good chef thanku crowne plaza team,0
osm food osm service faieem good parson restaurant amazing,0
hello everyone fair review going place guy jaipur day known night life last night friend visited club much disappointed rude behaviour staff member zero customer satisfaction really want guy good dayvery badvery bad,1
great time cuisine fantastic tasty chicken seekh kebab masala amazing quantity perfect also masalas added different flavor amazing service shibhu,0
decent place non vegetarian food drawback seating space also garlic naan matka chicken delightful recommended,1
sarson la saag top class makki roti wasnt pure makki floor mixture flour,0
wrong product received,1
dal makhni butter rotti delicious service given amar singh awesome thank much warm hospitality,0
nirmal outstanding service really like,0
perfect place great food everything place great,0
think ordering pasta last year loved,0
bakwaas,1
service soaib wonderfulon time great nature,0
hotel entrance lobby attractive nice food peace full envourment good service restaurant special good behave response person elton hemant ranveer piyush,0
highly recommended chicken burger lover,0
ultimate place eat enjoy frndsnice quality food well fast service alsonice staff nice place must recommend please visit,0
dal spilled package pathetic packaging,1
shakeel great host fabulous service food visit place jaipur,0
taste amazing however spill topping morsel ate base veggie separately,0
great quality food fell love sushi capricciosa pizza ambience great going visit try different cuisine got variety,0
taste fabulous excellent service highly recommended group buddy available vegetarian non vegetarian polite nature manager,0
excellent service nirmal everything nice food order chilli chicken dry chicken masala naan really tasty mausam food place experience holistic hospital list kebab curry company veg non veg student nice restaurant thank much casio company,0
good service,0
hummus smelling,1
food spectacular packaging really good staff handwrote message took care allergy,0
food tasty chicken good tasty customer service shibu also good,0
perfect place u wanna hangout friend work minding ur business read book perfect coffee evening,0
food fantastic taste much better ecofriendly environment,0
food delivered promptly incredibly delicious best part surprisingly affordable,0
kudos careful packaging order arrived perfect condition taste something cant describe word,0
socorro restaurant great mei always go enjoy today enjoy street food festival summer indian main course thanks chef narshing ansul really great hospitality,0
food sour smelly couldnt even bite,1
staff dont care family waiting minute give table others waiting pathetic behaviour manager,1
sumit thanks great service,0
located th floor tonk roadsach amazing place delicious food sitting outer area along sach beautiful ambience pretty restro lounge outdoor sitting make date even cafe best suited young generation although also good family ye thi humari pasandida jagah jahan ka rooftop bahut hi khubsurat hai,0
amazing great service asked everything thats expect fine dine,0
sir food totally spoil due leakage poor packing food mix leakage wan unable eat bad,1
used visit cafe first time ordered online food seriously pathetic online delivery received burnt food not recommend cafe online order,1
place love food feel ambience peshawari outstanding grand luxurious signature dish daalbukhara must die list delicious yummy beyond comparison time went peshawri celebrate husband birthday think date remember lifetime ordered non veg platter barra kebab winner rest kebab soft moist truly sensational service quick personal guess birthday cake complementary,0
new cafe town vibe great spacious not common area huge peaceful weekday nicely ordered coffee mocktail pasta really good offer veg non veg food indian limited italian priced,0
must visit,0
havent even received order,1
amazing food thank servive little expensive monthly visit special thanks vivek looking forward coming,0
wish option give zero rating review first staff not welcoming secondly many thing werent available ordered hot hazelnut cappuccino didnt justify price didnt look good served cold tasted even worse bombay sandwich okayish overall good place click picture maybe wouldnt recommend place food,1
wonderful place nice food pair sangria must iahan singh chand singh courteous good ambience visited afternoon,0
pretty place lovely ambiencefood delicious serving time lesswould love visit,0
not order material bad got loose motion eating,1
ambience town place one best must something need try fav dish like rajasthani dal bati rajasthani thali paneer popular suggested staff called promised,0
special thali fine short taste need improvement,0
soaib,0
amazing tasteful food must try alfredo visit nice ambiance indian well italian cuisine bakery,0
went dadand guy entry asked membership fee said could let enter not worth,1
pasta came cardboard tumbler packaging could taste cardboard plus no salt mushroom werent sauted pasta costed r youd atleast put salt abysmal experience,1
st order frm stardust last also,1
ambience staff food super fast serviceexcellent service im food odervegetarian chinekeveg gole kebab babycorn mushroom sald pepar malai soya chapmain course paneer butter masala kcco dal paneer takatak subji tripoliya dy soup really foodpledge nice taste paneer takatak soup tasty service love may food service kcco staff,0
mashed potato wierd stale taste smelll rest ok,1
